Model,LogLoss,RMSE,AUC,MeanPred,ActualRecall
HLR  smart    (hl=86400s  boost=4.0),0.4573,0.3830,0.8618,0.5823,0.6645
PowerLaw  smart    (alpha=0.15),0.5746,0.4397,0.8523,0.5348,0.6645
PowerLaw  adaptive (alpha=0.35),0.9291,0.5932,0.8523,0.2491,0.6645
PowerLaw  dumb     (alpha=0.60),1.5071,0.7105,0.8523,0.1066,0.6645
Reinforcement  smart    (gamma=0.20),6.9518,0.5792,0.4996,1.0000,0.6645
Reinforcement  adaptive (gamma=0.15),6.9518,0.5792,0.4996,1.0000,0.6645
Reinforcement  dumb     (gamma=0.05),6.9518,0.5792,0.4996,1.0000,0.6645
HLR  adaptive (hl=3600s   boost=2.0),8.2171,0.7892,0.7803,0.0263,0.6645
HLR  dumb     (hl=1800s   boost=1.5),11.4633,0.8098,0.6527,0.0052,0.6645
Baseline (mean predict),0.6380,0.4722,0.5000,0.6645,0.6645
